Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status,TotalIncome,DTI,Loan_to_Income,LoanAmount_Log
1,0,0,0,0,5849,0.0,128.0,360.0,1.0,2,1,5849.0,0.021884082749187895,0.021884082749187895,4.859812404361672
1,1,1,0,0,4583,1508.0,128.0,360.0,1.0,0,0,6091.0,0.0210146117222131,0.027929303949378138,4.859812404361672
1,1,0,0,1,3000,0.0,66.0,360.0,1.0,2,1,3000.0,0.022,0.022,4.204692619390966
1,1,0,1,0,2583,2358.0,120.0,360.0,1.0,2,1,4941.0,0.024286581663630843,0.04645760743321719,4.795790545596741
1,0,0,0,0,6000,0.0,141.0,360.0,1.0,2,1,6000.0,0.0235,0.0235,4.955827057601261
1,1,2,0,1,5417,4196.0,267.0,360.0,1.0,2,1,9613.0,0.027774888172266723,0.049289274506184234,5.5909869805108565
1,1,0,1,0,2333,1516.0,95.0,360.0,1.0,2,1,3849.0,0.024681735515718367,0.04072010287183883,4.564348191467836
1,1,3,0,0,3036,2504.0,158.0,360.0,0.0,1,0,5540.0,0.02851985559566787,0.05204216073781291,5.0689042022202315
1,1,2,0,0,4006,1526.0,168.0,360.0,1.0,2,1,5532.0,0.03036876355748373,0.04193709435846231,5.1298987149230735
1,1,1,0,0,12841,10968.0,349.0,360.0,1.0,1,0,23809.0,0.014658322483094628,0.027178568647301612,5.857933154483459
1,1,2,0,0,3200,700.0,70.0,360.0,1.0,2,1,3900.0,0.017948717948717947,0.021875,4.2626798770413155
1,1,2,0,0,2500,1840.0,109.0,360.0,1.0,2,1,4340.0,0.02511520737327189,0.0436,4.700480365792417
1,1,2,0,0,3073,8106.0,200.0,360.0,1.0,2,1,11179.0,0.01789068789694964,0.06508298080052066,5.303304908059076
1,0,0,0,0,1853,2840.0,114.0,360.0,1.0,0,0,4693.0,0.024291497975708502,0.06152185644900162,4.74493212836325
1,1,2,0,0,1299,1086.0,17.0,120.0,1.0,2,1,2385.0,0.007127882599580713,0.01308698999230177,2.8903717578961645
1,0,0,0,0,4950,0.0,125.0,360.0,1.0,2,1,4950.0,0.025252525252525252,0.025252525252525252,4.836281906951478
1,0,1,1,0,3596,0.0,100.0,240.0,1.0,2,1,3596.0,0.027808676307007785,0.027808676307007785,4.61512051684126
0,0,0,0,0,3510,0.0,76.0,360.0,0.0,2,0,3510.0,0.021652421652421653,0.021652421652421653,4.343805421853684
1,1,0,1,0,4887,0.0,133.0,360.0,1.0,0,0,4887.0,0.027215060364231634,0.027215060364231634,4.897839799950911
1,1,0,0,0,2600,3500.0,115.0,360.0,1.0,2,1,6100.0,0.018852459016393444,0.04423076923076923,4.7535901911063645
1,1,0,1,0,7660,0.0,104.0,360.0,0.0,2,0,7660.0,0.013577023498694517,0.013577023498694517,4.653960350157523
1,1,1,0,0,5955,5625.0,315.0,360.0,1.0,2,1,11580.0,0.027202072538860103,0.05289672544080604,5.755742213586912
1,1,0,1,0,2600,1911.0,116.0,360.0,0.0,1,0,4511.0,0.025714919086677012,0.04461538461538461,4.762173934797756
1,1,2,1,0,3365,1917.0,112.0,360.0,0.0,0,0,5282.0,0.021204089360090876,0.03328380386329866,4.727387818712341
1,1,1,0,0,3717,2925.0,151.0,360.0,1.0,1,0,6642.0,0.02273411623005119,0.040624159268227066,5.0238805208462765
1,1,0,0,1,9560,0.0,191.0,360.0,1.0,1,1,9560.0,0.01997907949790795,0.01997907949790795,5.2574953720277815
1,1,0,0,0,2799,2253.0,122.0,360.0,1.0,1,1,5052.0,0.02414885193982581,0.043586995355484104,4.812184355372417
1,1,2,1,0,4226,1040.0,110.0,360.0,1.0,2,1,5266.0,0.020888720091150777,0.02602934216753431,4.709530201312334
1,0,0,1,0,1442,0.0,35.0,360.0,1.0,2,0,1442.0,0.024271844660194174,0.024271844660194174,3.58351893845611
0,0,2,0,0,3750,2083.0,120.0,360.0,1.0,1,1,5833.0,0.020572604148808505,0.032,4.795790545596741
1,1,1,0,0,4166,3369.0,201.0,360.0,1.0,2,0,7535.0,0.026675514266755143,0.04824771963514162,5.308267697401205
1,0,0,0,0,3167,0.0,74.0,360.0,1.0,2,0,3167.0,0.023365961477739186,0.023365961477739186,4.31748811353631
1,0,1,0,1,4692,0.0,106.0,360.0,1.0,0,0,4692.0,0.022591645353793693,0.022591645353793693,4.672828834461906
1,1,0,0,0,3500,1667.0,114.0,360.0,1.0,1,1,5167.0,0.022063092703696534,0.03257142857142857,4.74493212836325
1,0,3,0,0,12500,3000.0,320.0,360.0,1.0,0,0,15500.0,0.02064516129032258,0.0256,5.771441123130016
1,1,0,0,0,2275,2067.0,128.0,360.0,1.0,2,1,4342.0,0.02947950253339475,0.056263736263736264,4.859812404361672
1,1,0,0,0,1828,1330.0,100.0,360.0,0.0,2,0,3158.0,0.031665611146295125,0.05470459518599562,4.61512051684126
0,1,0,0,0,3667,1459.0,144.0,360.0,1.0,1,1,5126.0,0.02809207959422552,0.03926915734933188,4.976733742420574
1,0,0,0,0,4166,7210.0,184.0,360.0,1.0,2,1,11376.0,0.01617440225035162,0.044167066730676906,5.220355825078324
1,0,0,1,0,3748,1668.0,110.0,360.0,1.0,1,1,5416.0,0.02031019202363368,0.02934898612593383,4.709530201312334
1,0,0,0,0,3600,0.0,80.0,360.0,1.0,2,0,3600.0,0.022222222222222223,0.022222222222222223,4.394449154672439
